question_id,date,category,question,option_1,option_2,option_3,option_4,correct_answer
142,2023-01-06,Internacional,¿Cuál es el nombre del líder del partido nacionalista ruso que ha manifestado su apoyo al gobierno ucraniano en la guerra?,Aleksandr Koshulinsky,Aleksandr Zakharchenko,Vladimir Zhirinovsky,Aleksandr Borodai,option_1
143,2023-01-06,Internacional,¿Cuántos drones y misiles de crucero llegaron a Kiev el 1 de enero de 2023?,10 drones y misiles,20 drones y misiles,30 drones y misiles,35 drones y misiles,option_4
144,2023-01-06,Internacional,¿Qué medidas ha adoptado el Parlamento ruso en 2019 para evitar la difusión de información comprometedora?,Prohibir el uso de teléfonos móviles con acceso a internet a los militares,Establecer una pena de cárcel para quienes filtren información confidencial,Establecer un sistema de verificación de identidad para acceder a cierta información,Establecer una red de espionaje de telecomunicaciones,option_1
146,2023-01-06,Cultura,"¿En qué año fue descubierta la villa romana en Rincón de la Victoria, Málaga?",2003,2022,2023,2019,option_1
147,2023-01-06,Cultura,"¿Qué se dedicaba a producir la villa romana llamada Antíope descubierta en Rincón de la Victoria, Málaga?",Mosaicos,Garum,Papel,Telas,option_2
148,2023-01-06,Cultura,¿Cuál de las siguientes opciones es cierta sobre la obra de Stefan Zweig?,Quaderns Crema y Fórcola Editores demandaron a Ediciones 98 y Hermida Editores por publicar obras de Zweig sin permiso.,Acantilado ha publicado casi toda la obra de Zweig en los últimos 20 años.,"Ediciones 98 y Hermida Editores publicaron obras de Zweig sin permiso de la agencia que vende los derechos en Español en 2021 y 2022, argumentando que los derechos correspondían a la ley británica tras el Brexit.",La obra de Stefan Zweig pasó a dominio público a partir del 1 de enero de 2022 en España.,option_2
149,2023-01-06,Cultura,¿Cuál de las siguientes opciones es una exposición que se celebrará en 2023?,"Exposición de la obra de Sorolla en el Prado, Museo Sorolla y Palacio Real",Exposición de la obra de Monet en el Louvre,Exposición de la obra de Da Vinci en el Museo del Prado,Exposición de la obra de Van Gogh en el Museo de Arte Moderno de Nueva York,option_4
150,2023-01-06,Cultura,¿Cuál de las siguientes opciones es cierta sobre el anuncio del Papa Francisco?,Papa Francisco anunció que tres fragmentos del Partenón se conservan en los Museos Vaticanos y que serán devueltos a Grecia.,Papa Francisco anunció que tres fragmentos del Partenón que se conservan en los Museos Vaticanos serán trasladados a Londres para una exposición temporal.,Papa Francisco anunció que tres fragmentos del Partenón que se conservan en los Museos Vaticanos serán donados a Alemania en memoria de Benedicto XVI.,Papa Francisco anunció que tres fragmentos del Partenón que se conservan en los Museos Vaticanos serán donados a China.,option_1
151,2023-01-06,Cultura,¿Cuál de las siguientes opciones es una exposición que se celebrará en 2023?,Exposición de la obra de Monet en el Louvre,Exposición de la obra de Da Vinci en el Museo del Prado,Exposición de la obra de Van Gogh en el Museo de Arte Moderno de Nueva York,"Exposición de la obra de Picasso en el Prado, Reina Sofía, Málaga y Barcelona",option_4
152,2023-01-06,Cultura,¿Cuál de las siguientes opciones es cierta sobre la obra de Arata Isozaki?,Arata Isozaki es un arquitecto japonés ganador del premio Pritzker 2019 y autor del Palau Sant Jordi.,Arata Isozaki es un arquitecto japonés ganador del premio Pritzker 2022 y autor del Guggenheim de Bilbao.,Arata Isozaki es un arquitecto japonés ganador del premio Pritzker 2021 y autor del Museo Nacional Centro de Arte Reina Sofía.,Arata Isozaki es un arquitecto japonés ganador del premio Pritzker 2020 y autor del Museo de Arte Moderno de Nueva York.,option_1
153,2023-01-06,Cultura,"¿Cuál de las siguientes opciones es cierta sobre declaraciones de Miquel Iceta, ministro de Cultura?",Miquel Iceta ha anunciado planes para descolonización de museos en España.,Miquel Iceta dice que no hay planes para descolonización de museos en España.,Miquel Iceta no ha mencionado nada sobre la descolonización de museos en España.,"Miquel Iceta ha mencionado la descolonización de museos en España, pero no ha anunciado planes al respecto.",option_2
154,2023-01-06,Cultura,¿Cuál de las siguientes opciones es cierta sobre la obra de Acantilado?,"Acantilado ha publicado casi toda la obra narrativa, biográfica y ensayística de Zweig en los últimos 20 años, así como volúmenes de correspondencia y diarios, en un total de 43 títulos.",La decisión del Tribunal Superior de Justicia de Cataluña de que la obra de Zweig está en dominio público en España ha llevado a Acantilado a declarar la suspensión temporal de su actividad editorial.,"Acantilado ha publicado algunas obras de Zweig en los últimos 20 años, pero no toda su obra narrativa, biográfica y ensayística.","Acantilado ha publicado la obra completa de Zweig, pero solo en inglés.",option_2
155,2023-01-06,Cultura,"¿Cuál de las siguientes opciones es cierta sobre el descubrimiento de la villa romana en Rincón de la Victoria, Málaga?",La villa se encontraba debajo de un bloque de viviendas con vistas al mar.,Los trabajos de recuperación permitieron que la villa sea visitable al público desde el 19 de diciembre de 2022.,Los restos de la villa fueron descubiertos en 2003 durante la construcción de un edificio.,La villa incluye 11 mosaicos y estuvo habitada entre finales del siglo IV y comienzos del III.,option_1
156,2023-01-06,Deportes,¿Quién es el autor del gol que le da la victoria al Real Madrid en el partido de los dieciseisavos de final de la Copa del Rey contra el Cacereño?,Courtois,Carvajal,Kroos,Rodrygo,option_4
157,2023-01-06,Cultura,¿Cuántos goles marcó Youssef En-Nesyri en el partido de los dieciseisavos de final de la Copa del Rey entre el Linares y el Sevilla?,0,1,2,3,option_4
158,2023-01-06,Deportes,¿Qué club de fútbol ha contratado a Lucas Pérez?,Deportivo de la Coruña,Cádiz,Gremio,Valladolid,option_1
159,2023-01-06,Cultura,¿Cuántas Copas del Mundo ganó Pelé durante su carrera?,0,1,2,3,option_4
160,2023-01-06,Deportes,¿Qué organismo ha presentado denuncias por los insultos racistas contra Vinicius en Valladolid?,"Comisión Estatal contra la Violencia, el Racismo, Xenofobia y la Intolerancia en el Deporte",Fiscalía de delitos de odio,Comité de Competición de la RFEF,La Liga,option_4
161,2023-01-06,Cultura,"¿Cuál de los siguientes jugadores de la NBA ha anotado 71 puntos en un partido, récord personal y de los Cleveland Cavaliers?",LeBron James,Kobe Bryant,Donovan Mitchell,Wilt Chamberlain,option_3
162,2023-01-06,Deportes,¿Cuál de los siguientes pilotos de motos del Rally Dakar ha sufrido una fractura en la falange distal del dedo gordo del pie izquierdo durante la segunda etapa?,Sam Sunderland,Carlos Sainz,Joan Barreda,Laia Sanz,option_3
164,2023-01-06,Deportes,¿Cuál de los siguientes equipos de la ACB - Liga Endesa ganó el tercer clásico de la temporada?,Real Madrid,FC Barcelona,Baskonia,Joventut,option_2
165,2023-01-06,Deportes,¿Quién es el actual campeón de la categoría de motos del Rally Dakar 2022?,Sam Sunderland,Carlos Sainz,Joan Barreda,Mason Klein,option_1
166,2023-01-06,Deportes,¿Cuál es el verdadero motivo de la renuncia de Magnus Cansen como campeón mundial de ajedrez clásico?,Miedo a perder el título,Una demanda multimillonaria,El deseo de enfrentar al francés Alireza Firouzja,El deseo de enfrentar al chino Liren Ding,option_1
167,2023-01-06,Deportes,¿Cuál fue el cambio en las normas de la NFL sobre contusiones al comienzo de la temporada?,Incluir la ataxia como motivo para que un jugador no siga en el campo,Revisar las políticas de seguridad de los atletas,Ambas respuestas son correctas,Ninguna de las respuestas es correcta,option_3
168,2023-01-06,Deportes,¿Qué causó la muerte de Ken Block?,Un accidente de coche,Un accidente de motocicleta,Un accidente de avión,Un accidente de motonieve,option_4
169,2023-01-06,Deportes,¿En qué estado de Estados Unidos ocurrió el accidente de motonieve de Ken Block?,California,Nueva York,Florida,Utah,option_4
170,2023-01-06,Deportes,¿Qué profesión tenía Ken Block?,Piloto de rallies,Youtuber,Diseñador de moda,Todas las respuestas son correctas,option_4
171,2023-01-06,Ciencia y tecnología,¿Cuál de las siguientes opciones describe correctamente el objetivo de los científicos españoles que resucitaron proteínas de hace millones de años y las usaron para corregir el albinismo en células humanas?,Encontrar nuevas proteínas para mejorar el sistema CRISPR de edición genética,Encontrar nuevas moléculas para mejorar el sistema CRISPR de edición genética,Estudiar el genoma de sus ancestros comunes,Estudiar el genoma de seres vivos actuales,option_1
172,2023-01-06,Educación,¿Cuál de las siguientes opciones describe correctamente la prueba piloto de la nueva selectividad en marzo?,Participan alumnos de Primaria y Secundaria de todo el país,"Participan alumnos de Bachillerato de 50 centros educativos de 10 comunidades, Ceuta y Melilla",Se usará el formato definitivo a partir de 2024,Los ejercicios de cada asignatura se estructurarán en dos grandes categorías,option_2
173,2023-01-06,Salud,¿Cuál de las siguientes opciones describe correctamente la situación de la hepatitis de origen desconocido en niños en España?,Es una alerta que se originó en España y fue confirmada por el Ministerio de Sanidad,Es una alerta que se originó en el Reino Unido y fue confirmada por el Ministerio de Sanidad,Es una alerta que se originó en el Reino Unido y fue cerrada por el Ministerio de Sanidad,Es una alerta que se originó en España y fue cerrada por el Ministerio de Sanidad,option_4
176,2023-01-06,Sociedad,¿Cuál es el principal posible motivo de la desaparición de Sandra Bermejo?,"Un accidente o una ""desaparición voluntaria""",Un fallo mecánico de su coche,Su equipo de senderismo se enredó y cayó al río Duero,Ninguna de las respuestas es correcta,option_1
177,2023-01-06,Sociedad,¿Quién fue encontrado flotando en la orilla derecha del río Duero después de un accidente de avión ultraligero?,Beatriz Cantos,Guillermo Álvarez,Adolfo Baños,Hugo López,option_2
178,2023-01-06,Sociedad,¿Qué grupo de voluntarios colaboró con la Guardia Civil en la búsqueda de Guillermo Álvarez tras el accidente de avión ultraligero en Valladolid?,La Asociación de Salvamento y Rescate de Castilla y León,La Asociación de Salvamento y Rescate de Murcia,La Asociación de Salvamento y Rescate de Asturias,La Asociación de Salvamento y Rescate de Madrid,option_1
179,2023-01-06,Sociedad,¿Quiénes fueron los tripulantes de la avioneta que murieron tras caer en picado en Murcia?,Adolfo Baños y Hugo López,Guillermo Álvarez y Beatriz Cantos,Sandra Bermejo y una persona no identificada,Un subteniente del Ejército del Aire y un instructor de vuelo,option_1
181,2023-01-06,Sociedad,"¿Cuándo se celebró la fiesta ilegal de. año nuevo en La Peza, Granada?",Entre el 30 de diciembre de 2022 y el 4 de enero de 2023,Entre el 30 de diciembre de 2021 y el 4 de enero de 2022,Entre el 30 de diciembre de 2020 y el 4 de enero de 2021,Entre el 30 de diciembre de 2019 y el 4 de enero de 2020,option_1
182,2023-01-06,Sociedad,¿Cuántos seguidores tenía Elena Huelva en Instagram al momento de su fallecimiento?,822.000,82.000,182.220,582.000,option_1
183,2023-01-06,Sociedad,¿Qué porcentaje de delitos en España son cibercrímenes en el año 2022?,El 10 por ciento,El 17 por ciento,El 22 por ciento,El 31 por ciento,option_2
184,2023-01-06,Sociedad,¿Qué término policial se refiere a la suplantación de identidad a través de llamadas telefónicas?,Phishing,Smishing,Vishing,Spoofing,option_3
185,2023-01-06,Sociedad,¿Qué organismos llevan a cabo operaciones para combatir el cibercrimen en España?,La dirección de Seguridad del Estado y la Unidad Central de Delincuencia Económica y Fiscal (UDEF) del Cuerpo Nacional de Policía,La dirección de Seguridad del Estado y la Unidad Central de Delincuencia Económica y Fiscal (UDEF) de la Guardia Civil,La dirección de Seguridad del Estado y la Unidad Central de Delincuencia Económica y Fiscal (UDEF) de la Policía Municipal,a dirección de Seguridad del Estado y la Unidad Central de Delincuencia Económica y Fiscal (UDEF) del Cuerpo Nacional de Guardias de Seguridad,option_1
186,2023-01-14,España,¿Qué partido político ha presentado una proposición de ley para fortalecer la independencia judicial y hacer más rigurosos y transparentes los requisitos para acceder a la cúpula judicial?,PSOE,PP,Podemos,Vox,option_2
187,2023-01-14,España,¿Cómo propone el PP elegir a los 12 vocales del turno de jueces en la nueva ley para el CGPJ?,Mediante voto directo de todos los jueces,Mediante elección entre los miembros del CGPJ,Mediante un comité de selección,Mediante nombramiento del Congreso de los Diputados por mayoría de dos tercios,option_1
188,2023-01-14,España,¿Cuántos vocales del turno de jueces serían magistrados del Supremo según la nueva ley propuesta por el PP?,2,3,5,7,option_1
189,2023-01-14,España,¿Quiénes de estos magistrados se han incporporado al Tribunal Constitucional designados por el Gobierno?,Pedro González-Trevijano y Antonio Narváez,Juan Carlos Campo y Laura Díez,María Luisa Segoviano y César Tolosa,Juan Antonio Xiol y Santiago Martínez Vares,option_2
190,2023-01-14,España,¿Quiénes de estos magistrados se han incporporado al Tribunal Constitucional elegidos por el Consejo General del Poder Judicial?,Pedro González-Trevijano y Antonio Narváez,Juan Carlos Campo y Laura Díez,María Luisa Segoviano y César Tolosa,Juan Antonio Xiol y Santiago Martínez Vares,option_3
191,2023-01-14,España,¿Cuál es la situación actual de la presencia de mujeres en el Tribunal Constitucional?,No hay mujeres en el tribunal,Solo hay una mujer en el tribunal,Hay cinco mujeres en el tribunal,Hay ocho mujeres en el tribunal,option_3
192,2023-01-14,España,¿Quién fue elegido presidente del Tribunal Constitucional en enero de 2023?,Pedro González-Trevijano,Cándido Conde-Pumpido,Juan Carlos Campo,María Luisa Balaguer,option_2
193,2023-01-14,España,¿Qué condena recibieron los miembros del Govern y líderes de entidades soberanistas en el juicio del procés?,Penas de entre 9 y 13 años de cárcel,Inhabilitación,A y B,Ninguna de las anteriores,option_3
194,2023-01-14,España,¿Qué acción tomó el Gobierno de Pedro Sánchez respecto a las penas de los líderes independentistas condenados en el juicio del procés?,Indultó las penas de prisión pero no las de inhabilitación,Suprimió las penas de inhabilitación,Ninguna de las anteriores,A y B,option_1
195,2023-01-14,España,"¿Qué delito o delitos ha mantenido el magistrado del Tribunal Supremo, Pablo Llarena, en el proceso contra el expresidente catalán Carles Puigdemont?",Sedición,Malversación y desobediencia,Desobediencia,Ninguno de los anteriores,option_2
196,2023-01-14,España,¿Qué cambios incluyó la Ley de Garantías de Libertad Sexual en el Código Penal?,"Eliminó la distinción entre agresión y abuso sexual.
",Aumentó las penas para conductas más graves.,Redujo las penas mínimas y máximas para algunos casos.,Todas las anteriores.,option_4
197,2023-01-14,España,¿Quién dirige el Ministerio de Igualdad en el momento en que se aprobó la Ley de Garantías de Libertad Sexual?,Ione Belarra,Irene Montero,Ángela Rodríguez,Yolanda Díaz,option_2
198,2023-01-14,España,¿Qué acción tomó el Gobierno en diciembre para evitar las rebajas de penas por la aplicación de la Ley de Garantías de Libertad Sexual?,Introdujo una enmienda a la ley.,Cambió el artículo 2.2 del Código Penal.,Eligió a un nuevo equipo de fiscales y jueces,Nada,option_1
199,2023-01-14,España,¿Cuántas personas se han beneficiado de las rebajas de penas por la aplicación de la Ley de Garantías de Libertad Sexual?,Menos de 10,Entre 10 y 50,Entre 50 y 100,Más de 100,option_4
200,2023-01-14,España,"¿Qué ha hecho la secretaria de Estado de Igualdad, Ángela Rodríguez, en relación a sus declaraciones sobre las rebajas de condenas a agresores sexuales?",Ha justificado sus palabras,Ha sido elogiada por su postura,Se ha disculpado y ha pedido disculpas a las víctimas,Ha sido destituida de su puesto,option_3
201,2023-01-14,España,"¿Qué ha dicho el PSOE sobre las declaraciones de la secretaria de Estado de Igualdad, Ángela Rodríguez, sobre las rebajas de condenas a agresores sexuales?",Han sido elogiadas,Han sido consideradas justificadas,Han sido consideradas injustificables y el tono ha sido calificado de indigno,Han sido ignoradas,option_3
202,2023-01-14,España,"¿Qué ha pedido el PP en relación a las declaraciones sobre las rebajas de condenas a agresores sexuales de la secretaria de Estado de Igualdad, Ángela Rodríguez?",Ha mostrado su acuerdo y las ha apoyado,"Ha manifestado entender el contexto en el que se realizaron, pero las califica de desafortunadas",Ha exigido que se disculpe con los agresores,Ha pedido que sea destituida,option_4
203,2023-01-14,España,"¿En qué contexto se hizo la declaración sobre las rebajas de condenas a agresores sexuales de la secretaria de Estado de Igualdad, Ángela Rodríguez?","En una conferencia de prensa
",En una entrevista en televisión,En un episodio de un podcast,En una reunión privada,option_3
204,2023-01-14,España,"¿Qué nombre tiene el podcast donde se hizo la declaración de la secretaria de Igualdad, Ángela Rodríguez, sobre las rebajas de condenas a agresores sexuales?
","""La voz de la mujer""","""Feminismo para todo el mundo""","""Igualdad: la lucha continúa""","""Igualdad para todos""",option_2
205,2023-01-14,España,¿Qué cargo ocupa Ángela Rodríguez en el Gobierno de España?,Secretaria de Estado de Igualdad,Secretaria de Estado de Economía,Secretaria de Estado de Consumo,Secretaria de Estado de Hacienda,option_1
206,2023-01-14,España,"¿Qué medida se incluirá en la reforma de la ley de seguridad ciudadana conocida como ""ley mordaza""?",Policías tendrán que dar un aviso previo antes de usar material antidisturbios para disolver una manifestación,Prohibición expresa del uso de las pelotas de goma como material antidisturbios,Implementación de un sistema de cámaras de vigilancia en las manifestaciones,Todos los agentes de policía deberán llevar un botón de pánico en su uniforme,option_1
207,2023-01-14,España,"Según el proyecto de rforma de la ""ley mordaza"", ¿en qué caso no será exigible la advertencia policial para disolver una manifestación?",Cuando se produzcan altercados entre manifestantes,"Cuando se produzca una alteración de la seguridad ciudadana con armas, artefactos explosivos u objetos contundentes o de cualquier otro modo peligroso",Cuando los manifestantes no cumplan con los requisitos legales para realizar la manifestación,Cuando el número de manifestantes sea mayor al esperado,option_2
208,2023-01-14,España,¿Qué partes políticas se niegan a incluir la prohibición expresa del uso de las pelotas de goma como material antidisturbios en la reforma de la Ley de Seguridad Ciudadana?,ERC y Unidas Podemos,PSOE y EH Bildu,"PSOE, PP, Vox y Ciudadanos",PP y Unidas Podemos,option_3
209,2023-01-14,España,En qué punto se recogerá en la reforma de la ley de seguridad ciudadana que la carencia del trámite previo de comunicación de una concentración no será motivo para impedir el ejercicio de las libertades de reunión y manifestación?,Punto primero,Punto segundo,Punto tercero,Punto cuarto,option_1
210,2023-01-14,España,¿Cuántas proposiciones de ley se presentaron en el Congreso en 2022?,74,92,51,20,option_2
211,2023-01-14,España,¿Cuántas proposiciones de ley presentó el Partido Popular en 2022?,16,13,7,5,option_2
212,2023-01-14,España,¿Quién fue el miembro del Gobierno que más preguntas recibió en sesión de control en 2022?,Teresa Ribera,Pedro Sánchez,Nadia Calviño,Yolanda Díaz,option_3
213,2023-01-14,España,¿Cuántas proposiciones de ley se aprobaron en el Congreso en 2022?,20,39,7,92,option_3
214,2023-01-14,España,¿Cuántas iniciativas legislativas presentó el Ejecutivo en 2022?,16,74,92,51,option_2
215,2023-01-14,España,¿Quiénes son los nuevos líderes de Ciudadanos?,Inés Arrimadas y Edmundo Bal,Patricia Guasp y Adrián Vázquez,Marcos Morales y Laura Alves,Santiago Saura e Inés Arrimadas,option_2
216,2023-01-14,España,¿Quién será ocupará la Portavocía Política y quién ostentará la Secretaría General de Ciudadanos?,Inés Arrimadas y Santiago Saura,Patricia Guasp y Adrián Vázquez,Edmundo Bal y Laura Alves,Marcos Morales y Inés Arrimadas,option_2
217,2023-01-14,España,¿Cómo se llamaba la lista que recibió más apoyos en las primarias de Ciudadanos?,Renace tu partido,Ciudadanos de nuevo,La Base del Cambio,Vamos! Ciudadanos,option_1
218,2023-01-14,España,¿Quién apoyó la candidatura de Guasp y Vázquez en las primarias de Ciudadanos?,Edmundo Bal,Inés Arrimadas,Marcos Morales,Albert Rivera,option_2
219,2023-01-14,España,¿Cuál fue la participación en las primarias de Ciudadanos en comparación con el proceso de elección interna anterior?,Aumentó un 63 por ciento,Se redujo un 63 por ciento,Aumentó un 49 por ciento,Se redujo un 49 por ciento,option_2
220,2023-01-14,España,¿Quién dirigirá la campaña de las elecciones municipales y autonómicas de mayo del PSOE?,Adriana Lastra,Marifrán Carazo Villalonga,Patxi López,Santos Cerdán,option_4
221,2023-01-14,España,¿Quién será la candidata del PP en Granada en las elecciones municipales de mayo?,Cuca Gamarra,Marifrán Carazo Villalonga,Macarena Olona,Cayetana Álvarez de Toledo,option_2
222,2023-01-14,España,"¿Qué ha dicho Marta Vilalta, portavoz de ERC, sobre la cumbre hispano-francesa en Barcelona?",Que ERC no participará en las movilizaciones en contra de la cumbre,Que se aprovechará la cumbre para dejar claro que el independentismo sigue vivo y que se seguirá defendiendo la autodeterminación y la amnistía.,Que ERC tiene que decidir si quiere ser partido asambleario y antisistema o de gobierno,"Que la cumbre es una oportunidad para sacar a Cataluña de la ""crispación""",option_2
223,2023-01-14,España,¿Quién llamó a la acción en contra de la cumbre hispano-francesa en Barcelona?,Oriol Junqueras,Jordi Sánchez,Carles Puigdemont,Gabriel Rufián,option_3
224,2023-01-14,España,¿Quién ha anunciado medidas antiabortistas en Castilla y León?,"El presidente de la Junta, Alfonso Fernández Mañueco","El consejero de Sanidad, Alejandro Vázquez","El vicepresidente de la Junta, Juan García-Gallardo","El portavoz de la Junta, Carlos Fernández Carriedo",option_3
225,2023-01-14,España,¿Qué opciones se ofrecerán a las embarazadas en Castilla y León?,"Escuchar el latido del feto, tener una ecografía en 4D y apoyo psicológico",Una línea telefónica con información sobre el aborto,Información sobre métodos anticonceptivos y planificación familiar,Ninguna de las anteriores,option_1
226,2023-01-14,España,"¿Qué bonificación en el Impuesto sobre la Renta de las Personas Físicas (IRPF) ha anunciado Isabel Díaz Ayuso, presidenta de la Comunidad de Madrid, para atraer inversiones extranjeras?",Una deducción del 20 por ciento en el tramo autonómico del IRPF para inversiones en la región durante los próximos seis años sin límite de inversión.,Una deducción del 30 por ciento en el tramo autonómico del IRPF para inversiones en la región durante los próximos seis años con límite de inversión.,Una deducción del 10 por ciento en el tramo autonómico del IRPF para inversiones en la región durante los próximos seis años sin límite de inversión.,Una deducción del 15 por ciento en el tramo autonómico del IRPF para inversiones en la región durante los próximos seis años con límite de inversión.,option_1
227,2023-01-14,España,¿Quién podrá acceder a la bonificación en el IRPF anunciada por Isabel Díaz Ayuso para atraer inversiones extranjeras?,Aquellos inversores que hayan residido en territorio nacional durante los últimos cinco años.,Aquellos inversores que no hayan residido en territorio nacional durante los últimos cinco años y vayan a generar actividad económica o empleo en la región.,Aquellos inversores que hayan residido en territorio nacional durante los últimos tres años.,Aquellos inversores que no hayan residido en territorio nacional durante los últimos diez años y vayan a generar actividad económica o empleo en la región.,option_2
228,2023-01-14,España,"¿Qué ha anunciado Isabel Díaz Ayuso, presidenta de la Comunidad de Madrid, para ayudar a las embarazadas?","La creación de un teléfono ""a favor de la vida, no en contra de nadie"" para las embarazadas.",La creación de un servicio de ayuda psicológica para las embarazadas.,La creación de un servicio de ayuda económica para las embarazadas.,La creación de un servicio de ayuda médica para las embarazadas.,option_1
229,2023-01-14,España,¿Qué dos partidos políticos han convocado una manifestación en Barakaldo contra los jueces que rechazan imponer el euskera en subcontratas?,PNV y EH Bildu,PP y Cs,PSOE y Podemos,Vox y Ciudadanos,option_1
230,2023-01-14,España,"¿Cuál es la profesión del exconsejero de Ceuta, Francisco Javier Guerrero, en prisión provisional por un presunto delito de abusos sexuales a menores marroquíes?",Médico,Abogado,Político,Profesor,option_1
231,2023-01-14,España,¿Cuál es la acusación en contra del exconsejero ceutí Francisco Javier Guerrero?,Abusos sexuales a menores marroquíes,Saltarse los protocolos de vacunación contra la covid-19,Delitos financieros,Corrupción administrativa,option_1
232,2023-01-14,España,¿Quién es José Antonio Griñán?,Un exdirigente socialista,Un exconsejero de Empleo,Un exviceconsejero de Hacienda,Un exdirector de la agencia Idea,option_1
233,2023-01-14,España,¿Por qué se ha aplazado la entrada en prisión de José Antonio Griñán?,Porque debe recibir sesiones de radioterapia por un cáncer de próstata recientemente diagnosticado,Porque todavía no ha sido reconocido por el médico forense,Porque el Gobierno le ha concedido el indulto,Porque la Fiscalía Anticorrupción ha retirado los cargos,option_1
234,2023-01-14,España,¿Quién es Carmen Martínez Aguayo?,"Una exviceconsejera de Economía y Hacienda entre 2004 y 2009 y luego consejera de Hacienda hasta 2013 en la Junta de Andalucía, condenada en el caso de los 'ERE'.","Una exconsejera de Empleo entre 2000 y 2004 y presidenta de IFA-IDEA desde 2003 hasta 2004 en la Junta de Andalucía, condenada en el caso de los 'ERE'.","Una exconsejera de Empleo entre 2004 y 2009 en la Junta de Andalucía, condenada en el caso de los 'ERE'.","Una exviceconsejera de Empleo entre 2009 y 2013 en la Junta de Andalucía, condenada en el caso de los 'ERE'.",option_1
235,2023-01-14,España,¿Cuánto tiempo de prisión recibió José Antonio Griñán por el caso ERE?,6 años,7 años,8 años,9 años,option_1
236,2023-01-14,España,¿En qué año se afilió Nicolás Redondo al PSOE y a la UGT?,1927,1945,1967,1976,option_2
237,2023-01-14,España,¿Cuál es el nombre de la misión de la UE a la que España enviará 300 militares en 2023?,Finul,EUTM-Mali,NMI,OTAN en Irak,option_2
238,2023-01-14,España,¿Cuál es el número máximo de personal estadounidense permitido en Rota según el convenio con España?,550,1.250,2.250,5.250,option_4
239,2023-01-14,España,¿Cuál es el efecto colateral de no reformar el acuerdo con Washington en relación a la base de Rota?,No se podrá prorrogar la vigencia del texto actual,Se tendrá que someter a la ratificación de las Cortes,El número de personal estadounidense permitido en Rota se reducirá,El número de personal español en Rota se aumentará,option_1
240,2023-01-14,España,¿Cuál es el nombre de la misión de la OTAN a la que España enviará 128 militares en 2023?,Finul,EUTM-Mali,NMI,OTAN en Irak,option_3
241,2023-01-14,Internacional,¿Qué países anunciaron el envío de carros de combate a Ucrania en enero de 2023?,Estados Unidos y Alemania,Francia y Estados Unidos,Francia y Alemania,Alemania y Rusia,option_3
242,2023-01-14,Internacional,¿Qué es Soledar y por qué es importante para Rusia?,"Soledar es una ciudad en la provincia de Donetsk, importante porque corta la carretera de suministro militar de Ucrania y es un paso significativo para intentar aislar la vecina ciudad de Bajmut.","Soledar es una ciudad en la provincia de Donetsk, importante porque tiene un gran valor industrial.","Soledar es una ciudad en la provincia de Donetsk, importante porque tiene 200 km de túneles para ponerse a salvo de la artillería.","Soledar es una ciudad en la provincia de Donetsk, importante porque es el primer éxito ruso en el campo de batalla de Donbás desde principios de julio.",option_1
243,2023-01-14,Internacional,¿Quién militar ruso fue degradado como máximo responsable militar de la guerra en Ucrania tres meses después de ser nombrado?,Valeri Gerásimov,Serguéi Surovikin,Vladimir Putin,Yevgueni Prigozhin,option_2
244,2023-02-05,Internacional,¿Quién es el presidente de Rusia?,Volodímir Zelenski,Vladimir Putin,Serguéi Shoigú,Valeri Gerásimov,option_2
245,2023-02-05,Internacional,¿Quién es el ministro de Defensa de Rusia?,Volodímir Zelenski,Vladimir Putin,Serguéi Shoigú,Valeri Gerásimov,option_3
246,2023-02-05,Internacional,¿Quién es el actual ministro de Interior de Ucrania?,Volodímir Zelenski,Denis Monastirski,Igor Klimenko,Oleksii Danilov,option_3
247,2023-02-05,Internacional,¿Cuál fue el principal objetivo de los ataques con drones por parte de Rusia en Ucrania en enero de 2023?,Subestaciones eléctricas,Viviendas,Centros militares,Fábricas,option_1
248,2023-02-05,Internacional,¿Cuándo comenzaron los ataques masivos con drones en Ucrania?,Enero,Octubre,Agosto,Noviembre,option_2
249,2023-02-05,Internacional,¿Qué países enviaron carros de combate a Ucrania por primera vez desde la invasión rusa en febrero de 2022?,Estados Unidos y Alemania,Francia y Estados Unidos,Alemania y Francia,Noruega y Francia,option_3
250,2023-02-05,Internacional,¿Qué tipo de carros de combate envío Francia a Ucrania en enero de 2023?,Marder,Bradley,AMX-10 RC,Tanques soviéticos,option_3
251,2023-02-05,Internacional,¿Cuántos carros de combate Bradley envió Estados Unidos a Ucrania en enero de 2023?,40,50,60,100,option_2
252,2023-02-05,Internacional,¿Por qué la ONU canceló su misión para investigar la muerte de los prisioneros de guerra ucranios en Olenivka?,No se dan las condiciones para enviar la misión al lugar,"Falta de compromiso del presidente ruso, Vladímir Putin",Porque los prisioneros de guerra muertos eran miembros del batallón Azov,Porque Ucrania mostró su disconformidad,option_1
253,2023-02-05,Internacional,¿Quiénes eran los prisioneros de guerra muertos en Olenivka?,Miembros de la extrema derecha,Observadores de la ONU,Soldados rusos,Soldados ucranianos,option_1
254,2023-02-05,Internacional,¿Por qué Ucrania está molesta con la decisión de la ONU de abortar la investigación de la matanza de Olenivka?,Porque no se dan las condiciones para enviar la misión al lugar,Porque el comunicado de la ONU no menciona a Rusia como responsable,Porque los prisioneros de guerra muertos eran miembros del batallón Azov,"Por falta de compromiso del presidente ruso, Vladímir Putin",option_2
